word_name,class_name
guaranteed,A
cons,A
chi,A
san,B
coastal,A
cooperative,B
medium,A
intended,B
ethics,A
creatures,B
lopez,A
tiles,A
database,B
robert,A
graduated,B
login,A
sessions,A
watt,A
olympus,B
peoples,B
lightbox,A
lists,A
evaluate,B
month,B
wayne,A
cut,A
grip,A
aug,A
requesting,A
portable,A
filled,A
innovation,B
dictionaries,A
jobs,A
monday,A
for,B
temporal,A
barbados,A
under,A
nz,A
false,B
build,B
yields,B
criteria,A
send,A
wanna,B
checks,A
ones,A
derek,B
encoding,B
electoral,B
previous,A
unexpected,B
ar,A
hiring,B
was,A
prayer,A
stands,A
framed,A
hr,A
consistency,A
indirect,A
maintained,B
wagner,A
tie,B
guided,A
range,B
expansys,B
herein,B
cabinet,A
mortgages,B
ht,A
ministry,B
pdf,B
royal,A
recently,B
briefs,A
screenshot,A
their,A
phrases,B
admissions,A
recommends,A
authentication,A
calgary,B
coffee,A
term,A
worm,A
helen,B
central,B
charlotte,B
housing,A
qualify,A
channels,B
kb,A
courtesy,A
madonna,A
fashion,B
recreation,B
acer,A
equation,A
nobody,B
usd,B
fees,A
infectious,A
fixed,A
streams,A
noise,B
interval,A
inventory,A
able,A
priorities,A
yours,B
sims,A
enzyme,B
nc,A
hq,A
oriental,B
draws,B
thomson,A
printer,A
fed,A
knows,B
pin,B
adidas,A
tri,B
receiver,A
ira,B
tradition,A
professor,B
edges,B
extraordinary,B
bidder,A
anything,A
bond,B
uruguay,A
emotional,B
vinyl,B
sunday,A
dynamics,A
determining,A
refinance,A
lisa,A
fleet,B
engine,A
fox,B
baby,A
july,A
adelaide,B
inkjet,A
troy,A
costa,B
div,B
rpm,B
fisher,B
hall,A
directors,A
determines,A
documented,A
environmental,A
greece,A
congo,A
hello,B
kill,A
attribute,B
yu,A
centres,B
state,B
malta,A
surf,A
august,A
patrick,A
rover,A
students,B
nvidia,B
belize,A
pending,B
walker,B
wichita,A
seminars,A
be,A
tuner,A
dark,B
casting,B
as,A
washington,A
upc,B
locations,B
editorial,A
v,A
cognitive,A
endangered,A
explicit,B
titled,B
baker,B
qatar,A
ia,A
mug,B
tractor,A
jackson,A
phd,B
shed,A
recommend,A
owns,A
contributors,B
twiki,B
sing,B
singapore,B
dates,B
sri,B
fill,A
bouquet,A
placing,B
recipient,B
productions,B
attributes,B
yield,B
wy,A
springer,B
apnic,B
albany,A
lectures,B
reflected,B
protected,A
gratuit,B
touch,A
incidence,B
ltd,B
universe,A
irrigation,B
flood,A
programming,A
loans,B
armenia,B
mount,B
luck,A
ended,B
thermal,A
remedy,B
expects,B
mountains,B
volkswagen,A
silver,A
machine,A
trap,A
smilies,A
lord,A
kg,A
beside,A
auditor,A
dave,B
thickness,A
tape,A
calculate,A
complaints,B
love,A
unemployment,B
assembly,B
existence,A
livecam,A
promo,A
beast,B
furnished,A
or,A
corps,B
wrap,A
dose,B
texture,B
slim,B
christians,B
tired,A
refused,B
implementation,A
cdt,A
assigned,B
area,A
convicted,A
parameter,B
babies,B
trends,A
alive,A
load,B
progressive,B
clocks,A
trout,A
mass,A
connectors,A
encyclopedia,A
shows,A
experiment,B
moves,A
dependent,B
jump,B
benefits,A
spanking,A
italic,B
officially,A
him,B
dating,B
axis,A
neutral,A
belgium,A
spell,B
cord,B
compressed,A
norway,A
reviewed,B
footage,B
solaris,A
outlets,B
packaging,A
recipes,B
pleasure,B
earlier,B
nt,A
websites,B
taiwan,B
degree,A
tight,A
channel,B
gathered,A
asthma,B
discovery,B
zinc,B
appointed,A
systematic,B
bryant,A
organizer,B
coupled,A
obesity,A
tube,A
challenged,B
sentences,B
herald,A
baking,B
tgp,B
carnival,A
monetary,A
girlfriend,B
harmful,B
speaking,B
publicly,B
parental,B
rate,A
housewives,A
norton,A
lack,B
select,B
wine,B
organ,A
ste,B
retention,A
trying,A
transactions,A
sg,A
hazardous,B
activated,A
periods,B
injection,B
category,A
stainless,B
dk,A
themes,A
les,B
worship,A
allowance,A
sales,B
portuguese,B
finishing,B
screensaver,B
wild,B
fame,B
sandy,B
source,B
nhl,B
dock,A
guy,A
rare,A
according,A
enabling,A
ceremony,B
graduation,B
arbitration,A
heart,B
cornwall,B
fu,A
irish,B
poland,B
mostly,B
express,A
deposit,B
burden,B
hydraulic,A
officers,A
antivirus,A
ski,B
projection,A
marker,B
masters,B
outdoor,B
confidentiality,B
heated,A
reflects,B
rides,B
edinburgh,B
webshots,A
homeless,A
sides,A
jews,B
wool,A
drainage,B
oil,B
teddy,A
bibliographic,B
repeated,A
seq,B
lawyers,B
barn,B
doors,B
seating,B
fioricet,A
shopzilla,A
tuesday,B
nov,B
raise,B
interstate,B
oaks,A
grill,A
laboratory,A
brochure,A
